종류,법정동,지번주소,위도,경도
보안등,삼도일동,제주특별자치도 제주시 삼도일동 1230,33.50837373,126.5179711
보안등,연동,제주특별자치도 제주시 연동 323,33.48685782,126.5004737
보안등,화북일동,제주특별자치도 제주시 화북일동 1953-2,33.52201797,126.5638318
보안등,해안동,제주특별자치도 제주시 해안동 1367-1,33.4482102,126.4610091
보안등,연동,제주특별자치도 제주시 연동 293-29,33.48668512,126.4956785
보안등,영평동,제주특별자치도 제주시 영평동 999-3,33.48710755,126.5726821
보안등,이도일동,제주특별자치도 제주시 이도일동 1294,33.50216783,126.5307044
보안등,회천동,제주특별자치도 제주시 회천동 2508-1,33.5045286,126.6081302
보안등,봉개동,제주특별자치도 제주시 봉개동 1677,33.49592346,126.5998507
보안등,회천동,제주특별자치도 제주시 회천동 3270,33.4954181,126.6004046
보안등,봉개동,제주특별자치도 제주시 봉개동 2747,33.49234387,126.584033
보안등,오등동,제주특별자치도 제주시 오등동 1870,33.45854111,126.5210706
보안등,오등동,제주특별자치도 제주시 오등동 1807,33.45814921,126.521148
보안등,오등동,제주특별자치도 제주시 오등동 1888,33.47177981,126.5343484
보안등,오라이동,제주특별자치도 제주시 오라이동 766-2,33.47176903,126.5059447
보안등,노형동,제주특별자치도 제주시 노형동 2488-4,33.48130384,126.4710981
보안등,오등동,제주특별자치도 제주시 오등동 625-2,33.47449778,126.5306707
보안등,연동,제주특별자치도 제주시 연동 2412-1,33.49374374,126.4818154
보안등,아라일동,제주특별자치도 제주시 아라일동 3003,33.47488855,126.5320833
보안등,봉개동,제주특별자치도 제주시 봉개동 2087,33.48776135,126.5962541
보안등,해안동,제주특별자치도 제주시 해안동 972-1,33.46091682,126.4606965
보안등,영평동,제주특별자치도 제주시 영평동 2012-30,33.46969437,126.5684671
보안등,도평동,제주특별자치도 제주시 도평동 720,33.48250575,126.4469523
보안등,화북일동,제주특별자치도 제주시 화북일동 1995-2,33.52123095,126.5643632
보안등,연동,제주특별자치도 제주시 연동 2332-1,33.49340637,126.4901408
보안등,아라일동,제주특별자치도 제주시 아라일동 4-140,33.44813393,126.5586012
보안등,오라삼동,제주특별자치도 제주시 오라삼동 2328-3,33.49906019,126.5064919
보안등,일도이동,제주특별자치도 제주시 일도이동 434,33.51072559,126.5377401
보안등,아라일동,제주특별자치도 제주시 아라일동 2684-9,33.48133773,126.535817
보안등,외도일동,제주특별자치도 제주시 외도일동 203-3,33.48547803,126.4392698
보안등,봉개동,제주특별자치도 제주시 봉개동 2744,33.47341969,126.5977972
보안등,회천동,제주특별자치도 제주시 회천동 37-4,33.48937474,126.6277795
보안등,회천동,제주특별자치도 제주시 회천동 2396,33.5045403,126.6082647
보안등,연동,제주특별자치도 제주시 연동 1026-1,33.46432188,126.4903623
보안등,도남동,제주특별자치도 제주시 도남동 91-2,33.4922607,126.525738
보안등,오등동,제주특별자치도 제주시 오등동 1895,33.45342462,126.5317146
보안등,화북일동,제주특별자치도 제주시 화북일동 1995-5,33.51892786,126.5644985
보안등,오등동,제주특별자치도 제주시 오등동 1870,33.4478373,126.5270527
보안등,오등동,제주특별자치도 제주시 오등동 1837-68,33.45075854,126.529438
보안등,연동,제주특별자치도 제주시 연동 111-1,33.49610114,126.4959602
보안등,해안동,제주특별자치도 제주시 해안동 1996-1,33.45633454,126.4565838
보안등,노형동,제주특별자치도 제주시 노형동 1297-2,33.49161532,126.4773625
보안등,회천동,제주특별자치도 제주시 회천동 540-3,33.48941185,126.6236474
보안등,월평동,제주특별자치도 제주시 월평동 3,33.45255385,126.5880225
보안등,해안동,제주특별자치도 제주시 해안동 1722-1,33.45102061,126.4537265
보안등,도련일동,제주특별자치도 제주시 도련일동 1363,33.49952787,126.5916473
보안등,도련일동,제주특별자치도 제주시 도련일동 1023-6,33.49957149,126.5918893
보안등,영평동,제주특별자치도 제주시 영평동 1306-4,33.49398776,126.5658475
보안등,영평동,제주특별자치도 제주시 영평동 1294-3,33.49380844,126.5667765
보안등,영평동,제주특별자치도 제주시 영평동 1288-5,33.49289728,126.5672652
보안등,영평동,제주특별자치도 제주시 영평동 1482,33.49045018,126.5687677
보안등,이도이동,제주특별자치도 제주시 이도이동 1085-6,33.49583618,126.5378435
보안등,이도이동,제주특별자치도 제주시 이도이동 1085-6,33.49551494,126.538133
보안등,해안동,제주특별자치도 제주시 해안동 48-22,33.44664487,126.474414
보안등,해안동,제주특별자치도 제주시 해안동 50-5,33.44670696,126.473642
보안등,해안동,제주특별자치도 제주시 해안동 400-23,33.44173649,126.471954
보안등,회천동,제주특별자치도 제주시 회천동 37,33.48909527,126.6277887
보안등,회천동,제주특별자치도 제주시 회천동 37,33.48876658,126.6279193
보안등,회천동,제주특별자치도 제주시 회천동 1732-1,33.48844287,126.6178357
보안등,회천동,제주특별자치도 제주시 회천동 3270,33.48880053,126.6176001
보안등,도련일동,제주특별자치도 제주시 도련일동 2447,33.49996944,126.5861488
보안등,도련일동,제주특별자치도 제주시 도련일동 1441,33.50026864,126.5866505
보안등,도련일동,제주특별자치도 제주시 도련일동 1441,33.5006276,126.5868237
보안등,아라일동,제주특별자치도 제주시 아라일동 2684-9,33.48092061,126.5357816
보안등,봉개동,제주특별자치도 제주시 봉개동 205,33.47111662,126.6142729
보안등,봉개동,제주특별자치도 제주시 봉개동 211-1,33.47096029,126.6147389
보안등,봉개동,제주특별자치도 제주시 봉개동 221-1,33.47084413,126.6150756
보안등,회천동,제주특별자치도 제주시 회천동 783-1,33.5138661,126.6136259
보안등,오등동,제주특별자치도 제주시 오등동 1870,33.45277035,126.5203521
보안등,오등동,제주특별자치도 제주시 오등동 1870,33.45338299,126.5202358
보안등,해안동,제주특별자치도 제주시 해안동 1003,33.46189243,126.4606125
보안등,이도일동,제주특별자치도 제주시 이도일동 1294,33.50237472,126.5311741
보안등,이도일동,제주특별자치도 제주시 이도일동 1294,33.50237264,126.5312198
보안등,오등동,제주특별자치도 제주시 오등동 1858-2,33.45172876,126.5202879
보안등,오등동,제주특별자치도 제주시 오등동 1870,33.4519927,126.5203456
보안등,오등동,제주특별자치도 제주시 오등동 1870,33.45234009,126.5204163
보안등,이도일동,제주특별자치도 제주시 이도일동 1774-8,33.50081272,126.5282069
보안등,이도일동,제주특별자치도 제주시 이도일동 1774-4,33.50103928,126.5279205
보안등,오등동,제주특별자치도 제주시 오등동 1377-22,33.47539316,126.5254883
보안등,오등동,제주특별자치도 제주시 오등동 1377-15,33.47508865,126.5266089
보안등,회천동,제주특별자치도 제주시 회천동 3267,33.49632499,126.6105642
보안등,회천동,제주특별자치도 제주시 회천동 2102-1,33.49582406,126.6111099
보안등,회천동,제주특별자치도 제주시 회천동 3270,33.4954218,126.6107727
보안등,회천동,제주특별자치도 제주시 회천동 2040,33.49545381,126.6102023
보안등,회천동,제주특별자치도 제주시 회천동 3270,33.49548842,126.6097394
보안등,회천동,제주특별자치도 제주시 회천동 2002,33.49564402,126.6090473
보안등,아라이동,제주특별자치도 제주시 아라이동 1419,33.48653112,126.5456023
보안등,아라이동,제주특별자치도 제주시 아라이동 1415,33.48679508,126.5462842
보안등,해안동,제주특별자치도 제주시 해안동 2206,33.46704114,126.4515041
보안등,건입동,제주특별자치도 제주시 건입동 1035-1,33.5173952,126.5371611
보안등,도두일동,제주특별자치도 제주시 도두일동 2585-1,33.50563607,126.4675466
보안등,아라일동,제주특별자치도 제주시 아라일동 2681,33.47534561,126.5318298
보안등,일도이동,제주특별자치도 제주시 일도이동 143-29,33.51213455,126.5430679
보안등,화북이동,제주특별자치도 제주시 화북이동 5031-1,33.51194,126.5548019
보안등,건입동,제주특별자치도 제주시 건입동 1197,33.51529694,126.5301514
보안등,노형동,제주특별자치도 제주시 노형동 1067-17,33.48889542,126.4785156
보안등,도남동,제주특별자치도 제주시 도남동 58,33.49279022,126.5273743
보안등,도평동,제주특별자치도 제주시 도평동 840,33.47953796,126.4490509
보안등,도평동,제주특별자치도 제주시 도평동 710-3,33.48302841,126.4471207
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.52743912,126.5769348
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.5272522,126.5771408
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.52711105,126.5772858
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.52697754,126.5774307
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.52787018,126.5768738
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.52787399,126.5776672
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.5276947,126.578392
보안등,삼양삼동,제주특별자치도 제주시 삼양삼동 2621-4,33.52738571,126.5788574
보안등,삼도이동,제주특별자치도 제주시 삼도이동 248-91,33.50748444,126.5227585
보안등,삼도일동,제주특별자치도 제주시 삼도일동 788-5,33.50682068,126.5192871
보안등,연동,제주특별자치도 제주시 연동 320-65,33.49229813,126.5012436
보안등,연동,제주특별자치도 제주시 연동 451,33.48225021,126.4983826
보안등,연동,제주특별자치도 제주시 연동 410-3,33.48223114,126.4971085
보안등,연동,제주특별자치도 제주시 연동 275-1,33.48403549,126.4905319
보안등,연동,제주특별자치도 제주시 연동 274-24,33.48477554,126.491394
보안등,연동,제주특별자치도 제주시 연동 253-2,33.48559952,126.4878616
보안등,연동,제주특별자치도 제주시 연동 262-32,33.48740787,126.4888848
보안등,연동,제주특별자치도 제주시 연동 262-59,33.48729887,126.4892351
보안등,연동,제주특별자치도 제주시 연동 1547,33.47695723,126.4894195
보안등,영평동,제주특별자치도 제주시 영평동 1073-1,33.48937225,126.574501
보안등,용담이동,제주특별자치도 제주시 용담이동 595-8,33.51251984,126.5085678
보안등,용담이동,제주특별자치도 제주시 용담이동 2698-21,33.50323105,126.5089493
보안등,이도일동,제주특별자치도 제주시 이도일동 1563-1,33.50859451,126.5252762
보안등,이호일동,제주특별자치도 제주시 이호일동 347-5,33.50382996,126.460556
보안등,이호일동,제주특별자치도 제주시 이호일동 347-7,33.50447464,126.4605026
보안등,이호일동,제주특별자치도 제주시 이호일동 347-7,33.5047493,126.460495
보안등,이호일동,제주특별자치도 제주시 이호일동 347-7,33.50507355,126.4604797
보안등,이호일동,제주특별자치도 제주시 이호일동 347-2,33.50381088,126.4613647
보안등,이호일동,제주특별자치도 제주시 이호일동 347-2,33.50398254,126.461113
보안등,이호일동,제주특별자치도 제주시 이호일동 347-2,33.50428772,126.4606857
보안등,화북일동,제주특별자치도 제주시 화북일동 1797,33.5232811,126.568161
보안등,화북일동,제주특별자치도 제주시 화북일동 1556-6,33.52556992,126.5659637
보안등,화북일동,제주특별자치도 제주시 화북일동 1556-6,33.52549362,126.5662308
보안등,화북일동,제주특별자치도 제주시 화북일동 1556-6,33.52540588,126.5665817
보안등,화북일동,제주특별자치도 제주시 화북일동 1556-6,33.5253334,126.5668106
보안등,화북일동,제주특별자치도 제주시 화북일동 1556-6,33.52531815,126.567009
보안등,화북일동,제주특별자치도 제주시 화북일동 1556-6,33.52536774,126.5671921
보안등,화북일동,제주특별자치도 제주시 화북일동 1556-4,33.52516937,126.5674515
보안등,화북일동,제주특별자치도 제주시 화북일동 1619-5,33.52472305,126.5653305
보안등,외도이동,제주특별자치도 제주시 외도이동 1956-38,33.49510193,126.4261017
보안등,외도이동,제주특별자치도 제주시 외도이동 1956-38,33.49529266,126.426384
보안등,외도이동,제주특별자치도 제주시 외도이동 1956-38,33.4954834,126.4267044
보안등,외도이동,제주특별자치도 제주시 외도이동 1956-38,33.49586487,126.4273529
보안등,도련일동,제주특별자치도 제주시 도련일동 1729-4,33.50933746,126.5896721
보안등,화북일동,제주특별자치도 제주시 화북일동 4119-4,33.52303404,126.5598735
보안등,화북일동,제주특별자치도 제주시 화북일동 4123-3,33.52271452,126.5600285
보안등,화북일동,제주특별자치도 제주시 화북일동 4123-3,33.5224988,126.5602153
보안등,화북일동,제주특별자치도 제주시 화북일동 1027,33.51740852,126.5781303
보안등,이도이동,제주특별자치도 제주시 이도이동 76-2,33.49357253,126.5492941
보안등,아라일동,제주특별자치도 제주시 아라일동 2807-11,33.4775807,126.5365176
보안등,도두일동,제주특별자치도 제주시 도두일동 2582-1,33.50522706,126.4678289
보안등,도두일동,제주특별자치도 제주시 도두일동 2571-1,33.50531347,126.4680059
보안등,삼양일동,제주특별자치도 제주시 삼양일동 1577-1,33.52972031,126.5933456
보안등,연동,제주특별자치도 제주시 연동 1965-1,33.49136008,126.4853106
보안등,연동,제주특별자치도 제주시 연동 2319-5,33.4914666,126.4854526
보안등,외도이동,제주특별자치도 제주시 외도이동 286-3,33.4937706,126.4337463
보안등,건입동,제주특별자치도 제주시 건입동 704-4,33.51371002,126.5421906
보안등,건입동,제주특별자치도 제주시 건입동 704-6,33.51401138,126.5418091
보안등,건입동,제주특별자치도 제주시 건입동 710-4,33.51432419,126.5414429
보안등,건입동,제주특별자치도 제주시 건입동 682-1,33.51428223,126.5419846
보안등,건입동,제주특별자치도 제주시 건입동 685-1,33.51418686,126.5424957
보안등,건입동,제주특별자치도 제주시 건입동 685-5,33.51419067,126.5427856
보안등,건입동,제주특별자치도 제주시 건입동 467-1,33.51421356,126.5430069
보안등,건입동,제주특별자치도 제주시 건입동 467-1,33.51424026,126.5435333
보안등,건입동,제주특별자치도 제주시 건입동 560-1,33.51428986,126.5440445
보안등,건입동,제주특별자치도 제주시 건입동 547,33.51428223,126.5444412
보안등,건입동,제주특별자치도 제주시 건입동 685-8,33.51385498,126.5428238
보안등,건입동,제주특별자치도 제주시 건입동 710-10,33.51415253,126.5413437
보안등,건입동,제주특별자치도 제주시 건입동 679-2,33.51385498,126.5414124
보안등,건입동,제주특별자치도 제주시 건입동 680-4,33.51395416,126.5403748
보안등,건입동,제주특별자치도 제주시 건입동 710,33.51446915,126.540451
보안등,건입동,제주특별자치도 제주시 건입동 710-8,33.51436615,126.5408554
보안등,건입동,제주특별자치도 제주시 건입동 709-13,33.51455307,126.5400925
보안등,건입동,제주특별자치도 제주시 건입동 709-20,33.51457596,126.5397797
보안등,건입동,제주특별자치도 제주시 건입동 709-19,33.51447296,126.5395584
보안등,건입동,제주특별자치도 제주시 건입동 709-4,33.51430893,126.5387726
보안등,건입동,제주특별자치도 제주시 건입동 709-4,33.51439667,126.5389938
보안등,건입동,제주특별자치도 제주시 건입동 709-4,33.51438522,126.5390015
보안등,건입동,제주특별자치도 제주시 건입동 709-1,33.51458359,126.5394592
보안등,건입동,제주특별자치도 제주시 건입동 675-10,33.51483536,126.5398178
보안등,건입동,제주특별자치도 제주시 건입동 708-6,33.51488113,126.5401459
보안등,건입동,제주특별자치도 제주시 건입동 675-8,33.51502991,126.5402451
보안등,건입동,제주특별자치도 제주시 건입동 708-14,33.51502228,126.5405121
보안등,건입동,제주특별자치도 제주시 건입동 708,33.51512527,126.540863
보안등,건입동,제주특별자치도 제주시 건입동 708-5,33.51488495,126.540863
보안등,건입동,제주특별자치도 제주시 건입동 743,33.51496506,126.5411148
보안등,건입동,제주특별자치도 제주시 건입동 705-6,33.51496506,126.5414276
보안등,건입동,제주특별자치도 제주시 건입동 705-1,33.51465988,126.5414276
보안등,건입동,제주특별자치도 제주시 건입동 696,33.51520538,126.5414352
보안등,건입동,제주특별자치도 제주시 건입동 696-1,33.51545334,126.5414352
보안등,건입동,제주특별자치도 제주시 건입동 696-1,33.51563644,126.5420532
보안등,건입동,제주특별자치도 제주시 건입동 764-2,33.51584625,126.5414352
보안등,건입동,제주특별자치도 제주시 건입동 778-1,33.51622009,126.5414352
보안등,건입동,제주특별자치도 제주시 건입동 777-5,33.51659393,126.5414352
보안등,건입동,제주특별자치도 제주시 건입동 668-4,33.51692581,126.5413513
보안등,건입동,제주특별자치도 제주시 건입동 818-2,33.5173645,126.5414505
보안등,건입동,제주특별자치도 제주시 건입동 666-5,33.51780701,126.5413589
보안등,건입동,제주특별자치도 제주시 건입동 829-2,33.51810455,126.5414429
보안등,건입동,제주특별자치도 제주시 건입동 831-4,33.5185051,126.5414658
보안등,건입동,제주특별자치도 제주시 건입동 666,33.51856232,126.5413284
보안등,건입동,제주특별자치도 제주시 건입동 666-6,33.51785278,126.540863
보안등,건입동,제주특별자치도 제주시 건입동 661-14,33.51763916,126.5407639
보안등,건입동,제주특별자치도 제주시 건입동 666-19,33.51726151,126.5408478
보안등,건입동,제주특별자치도 제주시 건입동 668,33.51694107,126.5408783
보안등,건입동,제주특별자치도 제주시 건입동 668-10,33.5166893,126.540863
보안등,건입동,제주특별자치도 제주시 건입동 668-15,33.51648712,126.5408478
보안등,건입동,제주특별자치도 제주시 건입동 668-38,33.51635742,126.540863
보안등,건입동,제주특별자치도 제주시 건입동 676-3,33.5158577,126.5408783
