등종류,행정동,소재지 주소,상세위치,위도,경도,데이터기준일
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3722-2,,33.22829437,126.2599106,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22813797,126.2599487,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22856522,126.2603531,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22883987,126.2606125,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22912979,126.2608871,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.2294693,126.2612228,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.2297821,126.261528,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.23013687,126.2618637,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.23049545,126.2621841,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.23084259,126.2625275,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.23109436,126.2627563,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.23149872,126.2630844,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.23183823,126.2634048,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.2321434,126.2636948,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-2,,33.23241425,126.2640076,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.23264694,126.2643051,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3407-2,,33.23291016,126.2646637,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3406-2,,33.23314285,126.265007,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3723-4,,33.22803497,126.259613,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22767258,126.2592926,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3728-2,,33.22728348,126.2588882,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3834-3,,33.22701645,126.258606,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22666168,126.2582321,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3850-1,,33.22635269,126.2578964,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3851-1,,33.22595596,126.2574768,2025-07-25
