경찰서,지구대파출소,주소
동부서,중앙지구대,미듬아뜨리에아파트 일대
동부서,중앙지구대,건입동 현대아파트 일대
동부서,남문지구대,이도2동 소재 광양초교 일대
동부서,오라지구대,이도2동 소재 시청대학로 일대
동부서,오라지구대,용담1동 주민센터 주변
동부서,삼양지구대,화북동 진남로6길 일대
동부서,아래파출소,아라주공아파트 일대
동부서,조천파출소,조천입 신북로 195 일대(조천초교)
동부서,함덕파출소,함덕 소재 대명리조트 일대
동부서,구좌파출소,구좌농협하나로마트-구좌파출소
서부서,연동지구대,연동 과원북4길 일대
서부서,외도파출소,외도동 우정로 13길 일대
서부서,하귀파출소,하귀1리 하귀미수동길 일대
서부서,한림파출소,한림리 한림로 5길 일대
서귀포서,중동지구대,동홍동 중앙로 150길 일대
서귀포서,중동지구대,동홍동 태평로 537번길 일대
서귀포서,표선파출소,표선리 표선중앙로 59번길 일대
서귀포서,남원파출소,남원로 태위로 723번길 일대
서귀포서,효돈파출소,토평동 토상로 20번길 일대
서귀포서,대신파출소,대륜동 법환상로 23번길 일대
서귀포서,중문파출소,중문동 중문로 26번길 일대
서귀포서,안덕파출소,사계리 사계중앙로 18번길 일대
서귀포서,대정파출소,하모리 하모중앙로 38번길 일대
