base_year_month,sex,age_range,time_range,residence_population_count
201801,남성,10대,01시,1234597.5
201801,남성,10대,02시,1233238.9
201801,남성,10대,03시,1231664.6
201801,남성,10대,04시,1232362.4
201801,남성,10대,05시,1232658.1
201801,남성,10대,06시,1230822.2
201801,남성,10대,07시,1222778
201801,남성,10대,08시,1165918.8
201801,남성,10대,09시,1091720.8
201801,남성,10대,10시,1043733.4
201801,남성,10대,11시,1003237.4
201801,남성,10대,12시,968698.9
201801,남성,10대,13시,933384.7
201801,남성,10대,14시,904731.2
201801,남성,10대,15시,879834.8
201801,남성,10대,16시,865464.1
201801,남성,10대,17시,862367.2
201801,남성,10대,18시,869164
201801,남성,10대,19시,883678.3
201801,남성,10대,20시,898033.8
201801,남성,10대,21시,918829.7
201801,남성,10대,22시,948043.4
201801,남성,10대,23시,982459.1
201801,남성,10대,24시,1238506.3
201801,남성,10세 미만,01시,1044879.2
201801,남성,10세 미만,02시,1043761.8
201801,남성,10세 미만,03시,1042524.2
201801,남성,10세 미만,04시,1043046.7
201801,남성,10세 미만,05시,1043322.3
201801,남성,10세 미만,06시,1041795.7
201801,남성,10세 미만,07시,1034743.3
201801,남성,10세 미만,08시,985950.3
201801,남성,10세 미만,09시,921130.6
201801,남성,10세 미만,10시,879144.7
201801,남성,10세 미만,11시,843391.7
201801,남성,10세 미만,12시,813268.5
201801,남성,10세 미만,13시,782232.3
201801,남성,10세 미만,14시,756981.7
201801,남성,10세 미만,15시,734925.4
201801,남성,10세 미만,16시,722217.3
201801,남성,10세 미만,17시,719044
201801,남성,10세 미만,18시,725081.9
201801,남성,10세 미만,19시,737532.7
201801,남성,10세 미만,20시,750118.1
201801,남성,10세 미만,21시,768462.5
201801,남성,10세 미만,22시,794022.5
201801,남성,10세 미만,23시,824413.3
201801,남성,10세 미만,24시,1047789.6
201801,남성,20대,01시,941430.3
201801,남성,20대,02시,951628.6
201801,남성,20대,03시,958634.6
201801,남성,20대,04시,963956.8
201801,남성,20대,05시,965523.9
201801,남성,20대,06시,958737.5
201801,남성,20대,07시,934060.3
201801,남성,20대,08시,854305.5
201801,남성,20대,09시,754916.4
201801,남성,20대,10시,703648.6
201801,남성,20대,11시,670840.8
201801,남성,20대,12시,646198
201801,남성,20대,13시,624609.8
201801,남성,20대,14시,603227.4
201801,남성,20대,15시,590142.4
201801,남성,20대,16시,585500.7
201801,남성,20대,17시,591839.1
201801,남성,20대,18시,613952.3
201801,남성,20대,19시,647668.5
201801,남성,20대,20시,668824.9
201801,남성,20대,21시,689392.3
201801,남성,20대,22시,719241
201801,남성,20대,23시,757239.8
201801,남성,20대,24시,930990.5
201801,남성,30대,01시,1230727.1
201801,남성,30대,02시,1238724.2
201801,남성,30대,03시,1241576.9
201801,남성,30대,04시,1243366.7
201801,남성,30대,05시,1239828.6
201801,남성,30대,06시,1222096.7
201801,남성,30대,07시,1170212.5
201801,남성,30대,08시,1032941.9
201801,남성,30대,09시,865004.2
201801,남성,30대,10시,777315.7
201801,남성,30대,11시,726557.6
201801,남성,30대,12시,691674.8
201801,남성,30대,13시,666135.5
201801,남성,30대,14시,644392.2
201801,남성,30대,15시,636213.6
201801,남성,30대,16시,643249.5
201801,남성,30대,17시,666381.3
201801,남성,30대,18시,716814.7
201801,남성,30대,19시,789910.2
201801,남성,30대,20시,837879.4
201801,남성,30대,21시,878840.1
201801,남성,30대,22시,924283.9
201801,남성,30대,23시,967499
201801,남성,30대,24시,1223833.8
201801,남성,40대,01시,1876990.4
201801,남성,40대,02시,1886447
201801,남성,40대,03시,1889284
201801,남성,40대,04시,1890082.5
201801,남성,40대,05시,1884682.7
201801,남성,40대,06시,1852036.8
201801,남성,40대,07시,1757404.5
201801,남성,40대,08시,1527873.8
201801,남성,40대,09시,1280920.5
201801,남성,40대,10시,1161480.3
201801,남성,40대,11시,1080972.4
201801,남성,40대,12시,1030225.3
201801,남성,40대,13시,998458.6
201801,남성,40대,14시,970149.7
201801,남성,40대,15시,963754.2
201801,남성,40대,16시,980391.3
201801,남성,40대,17시,1023103.7
201801,남성,40대,18시,1111770.7
201801,남성,40대,19시,1216284.6
201801,남성,40대,20시,1278030.1
201801,남성,40대,21시,1338953
