base_year_month,sex,age_range,time_range,work_population_count
201801,남성,10대,01시,39190.3
201801,남성,10대,02시,38388.5
201801,남성,10대,03시,37960.7
201801,남성,10대,04시,37392.5
201801,남성,10대,05시,37259.7
201801,남성,10대,06시,37557.8
201801,남성,10대,07시,38145.3
201801,남성,10대,08시,54822.7
201801,남성,10대,09시,87354.5
201801,남성,10대,10시,99927.5
201801,남성,10대,11시,107884
201801,남성,10대,12시,112147.7
201801,남성,10대,13시,112343.1
201801,남성,10대,14시,110509.2
201801,남성,10대,15시,112233.8
201801,남성,10대,16시,110240.5
201801,남성,10대,17시,105101.9
201801,남성,10대,18시,98751.4
201801,남성,10대,19시,89991.2
201801,남성,10대,20시,84543.2
201801,남성,10대,21시,79665.8
201801,남성,10대,22시,73493.3
201801,남성,10대,23시,66739.9
201801,남성,10대,24시,40511.5
201801,남성,10세 미만,01시,33289.2
201801,남성,10세 미만,02시,32605.4
201801,남성,10세 미만,03시,32237.1
201801,남성,10세 미만,04시,31752.4
201801,남성,10세 미만,05시,31638.8
201801,남성,10세 미만,06시,31895
201801,남성,10세 미만,07시,32395.9
201801,남성,10세 미만,08시,46665.8
201801,남성,10세 미만,09시,74493.8
201801,남성,10세 미만,10시,85250
201801,남성,10세 미만,11시,92060.7
201801,남성,10세 미만,12시,95712.4
201801,남성,10세 미만,13시,95883.9
201801,남성,10세 미만,14시,94320.5
201801,남성,10세 미만,15시,95797.2
201801,남성,10세 미만,16시,94091.3
201801,남성,10세 미만,17시,89697.9
201801,남성,10세 미만,18시,84266.9
201801,남성,10세 미만,19시,76777.9
201801,남성,10세 미만,20시,72118.4
201801,남성,10세 미만,21시,67946.3
201801,남성,10세 미만,22시,62666.8
201801,남성,10세 미만,23시,56881.9
201801,남성,10세 미만,24시,34417.6
201801,남성,20대,01시,57994
201801,남성,20대,02시,55035
201801,남성,20대,03시,52972.1
201801,남성,20대,04시,51732.3
201801,남성,20대,05시,52234
201801,남성,20대,06시,54613.3
201801,남성,20대,07시,61177.1
201801,남성,20대,08시,89211.2
201801,남성,20대,09시,144682.2
201801,남성,20대,10시,166579
201801,남성,20대,11시,177264.8
201801,남성,20대,12시,184677.2
201801,남성,20대,13시,191089
201801,남성,20대,14시,195249.8
201801,남성,20대,15시,196241.6
201801,남성,20대,16시,196172.6
201801,남성,20대,17시,194426.7
201801,남성,20대,18시,180306
201801,남성,20대,19시,139141.7
201801,남성,20대,20시,118930.7
201801,남성,20대,21시,106285.8
201801,남성,20대,22시,93441.1
201801,남성,20대,23시,80725.9
201801,남성,20대,24시,63814
