base_year_month,sex,age_range,time_range,visit_population_count
201801,남성,10대,01시,466220.6
201801,남성,10대,02시,467563.5
201801,남성,10대,03시,469709.8
201801,남성,10대,04시,469544.1
201801,남성,10대,05시,469417.5
201801,남성,10대,06시,470914.5
201801,남성,10대,07시,478264.8
201801,남성,10대,08시,521350.1
201801,남성,10대,09시,566374.5
201801,남성,10대,10시,599893
201801,남성,10대,11시,630602.4
201801,남성,10대,12시,659673.5
201801,남성,10대,13시,694774.6
201801,남성,10대,14시,725724
201801,남성,10대,15시,749418.8
201801,남성,10대,16시,766469.9
201801,남성,10대,17시,775261.9
201801,남성,10대,18시,775910.3
201801,남성,10대,19시,770026.6
201801,남성,10대,20시,762034.7
201801,남성,10대,21시,746940.5
201801,남성,10대,22시,722407.3
201801,남성,10대,23시,691859.6
201801,남성,10대,24시,462927
201801,남성,10세 미만,01시,391563.6
201801,남성,10세 미만,02시,392714
201801,남성,10세 미만,03시,394549.8
201801,남성,10세 미만,04시,394404.4
201801,남성,10세 미만,05시,394293.2
201801,남성,10세 미만,06시,395571.1
201801,남성,10세 미만,07시,401860.6
201801,남성,10세 미만,08시,438643.9
201801,남성,10세 미만,09시,477058.7
201801,남성,10세 미만,10시,505718.6
201801,남성,10세 미만,11시,531967.9
201801,남성,10세 미만,12시,556820.1
201801,남성,10세 미만,13시,586825.2
201801,남성,10세 미만,14시,613267.7
201801,남성,10세 미만,15시,633517.3
201801,남성,10세 미만,16시,648090
201801,남성,10세 미만,17시,655604.5
201801,남성,10세 미만,18시,656149
201801,남성,10세 미만,19시,651135
201801,남성,10세 미만,20시,644301.3
201801,남성,10세 미만,21시,631404.5
201801,남성,10세 미만,22시,610475.6
201801,남성,10세 미만,23시,584423.9
201801,남성,10세 미만,24시,388706.1
201801,남성,20대,01시,594895.9
201801,남성,20대,02시,586622.8
201801,남성,20대,03시,582040.5
201801,남성,20대,04시,577948.9
201801,남성,20대,05시,576072.4
201801,남성,20대,06시,580701.5
201801,남성,20대,07시,599174.3
201801,남성,20대,08시,654488.7
201801,남성,20대,09시,704018.4
201801,남성,20대,10시,730930.5
201801,남성,20대,11시,751609.2
201801,남성,20대,12시,766910.8
201801,남성,20대,13시,781428.2
201801,남성,20대,14시,798400.4
201801,남성,20대,15시,811157.9
201801,남성,20대,16시,816920.9
201801,남성,20대,17시,813382.6
201801,남성,20대,18시,806771.1
201801,남성,20대,19시,814007.5
201801,남성,20대,20시,812887.8
201801,남성,20대,21시,808529.7
201801,남성,20대,22시,791072.2
201801,남성,20대,23시,760547
201801,남성,20대,24시,602306.3
201801,남성,30대,01시,496216.4
201801,남성,30대,02시,490262.6
201801,남성,30대,03시,489052.2
201801,남성,30대,04시,488432.6
201801,남성,30대,05시,491563.1
201801,남성,30대,06시,506147.6
201801,남성,30대,07시,546524.3
201801,남성,30대,08시,644099.3
201801,남성,30대,09시,728676.3
201801,남성,30대,10시,782479.8
201801,남성,30대,11시,822469.8
201801,남성,30대,12시,848405.6
201801,남성,30대,13시,868467.8
201801,남성,30대,14시,888771.3
201801,남성,30대,15시,896656.2
201801,남성,30대,16시,888343.3
201801,남성,30대,17시,867080.3
201801,남성,30대,18시,837903.5
201801,남성,30대,19시,826621
201801,남성,30대,20시,812207.5
201801,남성,30대,21시,792910.3
201801,남성,30대,22시,763495.7
201801,남성,30대,23시,727997.1
201801,남성,30대,24시,495902.3
201801,남성,40대,01시,630622
201801,남성,40대,02시,622983.2
201801,남성,40대,03시,622284
201801,남성,40대,04시,623385.4
201801,남성,40대,05시,629087.1
201801,남성,40대,06시,657937.7
201801,남성,40대,07시,735685.3
201801,남성,40대,08시,904101
201801,남성,40대,09시,1046515
201801,남성,40대,10시,1136017.9
201801,남성,40대,11시,1203809.6
201801,남성,40대,12시,1242191.2
201801,남성,40대,13시,1272739.5
201801,남성,40대,14시,1300887.5
201801,남성,40대,15시,1306585.7
201801,남성,40대,16시,1287515.2
201801,남성,40대,17시,1250200.3
201801,남성,40대,18시,1196609.6
201801,남성,40대,19시,1170263.4
201801,남성,40대,20시,1142404
201801,남성,40대,21시,1105784.5
201801,남성,40대,22시,1054416.1
201801,남성,40대,23시,1004132.4
201801,남성,40대,24시,636994.8
201801,남성,50대,01시,591113.5
201801,남성,50대,02시,584784.7
201801,남성,50대,03시,585939.2
201801,남성,50대,04시,587201.4
201801,남성,50대,05시,595526.9
201801,남성,50대,06시,631725.5
201801,남성,50대,07시,727722.3
201801,남성,50대,08시,897688.3
201801,남성,50대,09시,1028581.5
201801,남성,50대,10시,1123549.4
201801,남성,50대,11시,1197338.2
201801,남성,50대,12시,1236332.6
201801,남성,50대,13시,1264138.6
201801,남성,50대,14시,1289305.7
201801,남성,50대,15시,1298098.3
